text,is_bold,font_size,font_size_rank,centeredness,spacing_before,spacing_after,is_valid_length,page_no
brief contents,1,30,0.79,0.56,0.0,0.02,1,5
P 1 G,1,13,0.56,0.07,0.02,0.0,1,5
......................................... 1,1,13,0.47,0.49,0.0,0.0,1,5
ART O AND WEB,1,11,0.52,0.09,0.0,0.0,1,5
APPLICATIONS,1,11,0.43,0.33,0.0,0.01,1,5
1,1,9,0.3,0.24,0.01,0.0,0,5
Go and web applications,0,10,0.23,0.3,0.0,0.0,1,5
3,0,10,0.14,0.54,0.0,0.0,0,5
■,0,3,0.0,0.28,0.0,0.01,0,5
2,1,9,0.3,0.24,0.01,0.0,0,5
Go ChitChat 22,0,10,0.23,0.3,0.0,0.0,1,5
■,0,3,0.0,0.28,0.0,0.03,0,5
P 2 B,1,13,0.56,0.07,0.03,0.0,1,5
.......................................... 45,1,13,0.47,0.46,0.0,0.0,1,5
ART ASIC WEB,1,11,0.52,0.09,0.0,0.0,1,5
APPLICATIONS,1,11,0.43,0.3,0.0,0.01,1,5
3,1,9,0.3,0.24,0.01,0.0,0,5
Handling requests 47,0,10,0.23,0.3,0.0,0.0,1,5
■,0,3,0.0,0.28,0.0,0.01,0,5
4,1,9,0.3,0.24,0.01,0.0,0,5
Processing requests 69,0,10,0.23,0.3,0.0,0.0,1,5
■,0,3,0.0,0.28,0.0,0.01,0,5
5,1,9,0.3,0.24,0.01,0.0,0,5
Displaying content 96,0,10,0.23,0.3,0.0,0.0,1,5
■,0,3,0.0,0.28,0.0,0.01,0,5
6 ■,1,9,0.3,0.24,0.01,0.0,0,5
Storing data 125,0,10,0.23,0.3,0.0,0.02,1,5
P 3 B,1,13,0.56,0.07,0.02,0.0,1,5
............................................................ 153,1,13,0.47,0.31,0.0,0.0,1,5
ART EING REAL,1,11,0.52,0.09,0.0,0.01,1,5
7,1,9,0.3,0.24,0.01,0.0,0,5
Go web services 155,0,10,0.23,0.3,0.0,0.0,1,5
■,0,3,0.0,0.28,0.0,0.01,0,5
8,1,9,0.3,0.24,0.01,0.0,0,5
Testing your application,0,10,0.23,0.3,0.0,0.0,1,5
190,0,10,0.14,0.54,0.0,0.0,0,5
■,0,3,0.0,0.28,0.0,0.01,0,5
9,1,9,0.3,0.24,0.01,0.0,0,5
Leveraging Go concurrency,0,10,0.23,0.3,0.0,0.0,1,5
223,0,10,0.14,0.57,0.0,0.0,0,5
■,0,3,0.0,0.28,0.0,0.01,0,5
10,1,9,0.3,0.23,0.01,0.0,0,5
Deploying Go 256,0,10,0.23,0.3,0.0,0.0,1,5
■,0,3,0.0,0.28,0.0,0.0,0,5
vi,1,9,0.39,0.06,0.0,0.0,0,6
BRIEF CONTENTS,1,6,0.33,0.39,0.0,0.0,1,6
contents,1,30,0.79,0.67,0.0,0.02,1,7
preface xiii,1,9,0.39,0.23,0.02,0.0,1,7
acknowledgments xv,1,9,0.39,0.23,0.0,0.0,1,7
about this book xvii,1,9,0.39,0.23,0.0,0.0,1,7
about the cover illustration,1,9,0.39,0.23,0.0,0.0,1,7
xx,1,9,0.3,0.44,0.0,0.04,0,7
P ART 1 G O AND,1,15,0.6,0.07,0.04,0.0,1,7
............................. 1,1,15,0.5,0.56,0.0,0.0,1,7
WEB APPLICATIONS,1,12,0.45,0.32,0.0,0.02,1,7
1,1,27,0.74,0.17,0.02,0.0,0,7
Go and web applications,1,12,0.45,0.21,0.0,0.0,1,7
3,1,12,0.36,0.48,0.0,0.01,0,7
1.1 Using Go for web applications,0,10,0.23,0.23,0.01,0.0,1,7
4,0,10,0.14,0.58,0.0,0.01,0,7
Scalable web applications and Go,1,9,0.39,0.3,0.01,0.0,1,7
4 Modular web,1,9,0.39,0.56,0.0,0.0,1,7
■,0,3,0.0,0.58,0.0,0.01,0,7
applications and Go 5,1,9,0.39,0.3,0.01,0.0,1,7
Maintainable web applications and,1,9,0.39,0.5,0.0,0.0,1,7
■,0,3,0.0,0.49,0.0,0.01,0,7
Go 5 High performing web applications and Go,1,9,0.39,0.3,0.01,0.0,1,7
6,1,9,0.3,0.7,0.0,0.0,0,7
■,0,3,0.0,0.36,0.0,0.02,0,7
1.2 How web applications work,0,10,0.23,0.23,0.02,0.0,1,7
6,0,10,0.14,0.55,0.0,0.01,0,7
1.3 A quick introduction to HTTP,0,10,0.23,0.23,0.01,0.0,1,7
8,0,10,0.14,0.57,0.0,0.01,0,7
1.4 The coming of web applications,0,10,0.23,0.23,0.01,0.0,1,7
8,0,10,0.14,0.59,0.0,0.01,0,7
1.5 HTTP request 9,0,10,0.23,0.23,0.01,0.01,1,7
Request methods 10 Safe request methods,1,9,0.39,0.3,0.01,0.0,1,7
11 Idempotent,1,9,0.39,0.65,0.0,0.0,1,7
■,0,3,0.0,0.47,0.0,0.0,0,7
■,0,3,0.0,0.68,0.0,0.01,0,7
request methods 11 Browser support for request methods,1,9,0.39,0.3,0.01,0.0,1,7
11,1,9,0.3,0.75,0.0,0.0,0,7
■,0,3,0.0,0.46,0.0,0.01,0,7
Request headers 11,1,9,0.39,0.3,0.01,0.0,1,7
viii,1,9,0.48,0.06,0.0,0.0,1,8
CONTENTS,1,6,0.33,0.41,0.0,0.03,1,8
1.6 HTTP response,0,10,0.23,0.21,0.03,0.0,1,8
12,0,10,0.14,0.42,0.0,0.01,0,8
Response status code 13,1,9,0.39,0.28,0.01,0.0,1,8
Response headers 13,1,9,0.39,0.49,0.0,0.0,1,8
■,0,3,0.0,0.48,0.0,0.02,0,8
1.7 URI 14,0,10,0.23,0.21,0.02,0.01,1,8
1.8 Introducing HTTP/2,0,10,0.23,0.21,0.01,0.0,1,8
16,0,10,0.14,0.47,0.0,0.01,0,8
1.9 Parts of a web app,0,10,0.23,0.21,0.01,0.0,1,8
16,0,10,0.14,0.44,0.0,0.01,0,8
Handler 16 Template engine,1,9,0.39,0.28,0.01,0.0,1,8
17,1,9,0.3,0.55,0.0,0.0,0,8
■,0,3,0.0,0.39,0.0,0.02,0,8
1.10 Hello Go 18,0,10,0.32,0.2,0.02,0.01,1,8
1.11 Summary 21,0,10,0.32,0.2,0.01,0.02,1,8
2,1,27,0.74,0.15,0.02,0.0,0,8
Go ChitChat 22,1,12,0.54,0.19,0.0,0.01,1,8
2.1 Let’s ChitChat,0,10,0.23,0.21,0.01,0.0,1,8
23,0,10,0.14,0.41,0.0,0.01,0,8
2.2 Application design,0,10,0.23,0.21,0.01,0.0,1,8
24,0,10,0.14,0.45,0.0,0.01,0,8
2.3 Data model 26,0,10,0.23,0.21,0.01,0.01,1,8
2.4 Receiving and processing requests,0,10,0.23,0.21,0.01,0.0,1,8
27,0,10,0.14,0.59,0.0,0.01,0,8
The multiplexer 27 Serving static files,1,9,0.39,0.28,0.01,0.0,1,8
28 Creating the,1,9,0.39,0.61,0.0,0.0,1,8
■ ■,0,3,0.0,0.45,0.0,0.01,0,8
handler function 28 Access control using cookies,1,9,0.39,0.28,0.01,0.0,1,8
30,1,9,0.3,0.69,0.0,0.0,0,8
■,0,3,0.0,0.45,0.0,0.02,0,8
2.5 Generating HTML responses with templates,0,10,0.23,0.21,0.02,0.0,1,8
32,0,10,0.14,0.68,0.0,0.01,0,8
Tidying up 36,1,9,0.39,0.28,0.01,0.01,1,8
2.6 Installing PostgreSQL,0,10,0.23,0.21,0.01,0.0,1,8
37,0,10,0.14,0.48,0.0,0.01,0,8
Linux/FreeBSD 37 Mac OS X,1,9,0.39,0.28,0.01,0.0,1,8
38 Windows 38,1,9,0.39,0.56,0.0,0.0,1,8
■ ■,0,3,0.0,0.45,0.0,0.02,0,8
2.7 Interfacing with the database,0,10,0.23,0.21,0.02,0.0,1,8
38,0,10,0.14,0.54,0.0,0.01,0,8
2.8 Starting the server,0,10,0.23,0.21,0.01,0.0,1,8
43,0,10,0.14,0.45,0.0,0.01,0,8
2.9 Wrapping up 43,0,10,0.23,0.21,0.01,0.01,1,8
2.10 Summary 44,0,10,0.32,0.2,0.01,0.03,1,8
P 2 B,1,15,0.6,0.06,0.03,0.0,1,8
............................... 45,1,15,0.5,0.51,0.0,0.0,1,8
ART ASIC WEB,1,12,0.54,0.1,0.0,0.0,1,8
APPLICATIONS,1,12,0.45,0.34,0.0,0.02,1,8
3,1,27,0.74,0.15,0.02,0.0,0,8
Handling requests,1,12,0.54,0.19,0.0,0.0,1,8
47,1,12,0.36,0.39,0.0,0.01,0,8
3.1 The Go net/http library,0,10,0.23,0.21,0.01,0.0,1,8
48,0,10,0.14,0.5,0.0,0.01,0,8
3.2 Serving Go 50,0,10,0.23,0.21,0.01,0.01,1,8
The Go web server 50 Serving through HTTPS,1,9,0.39,0.28,0.01,0.0,1,8
51,1,9,0.3,0.68,0.0,0.0,0,8
■,0,3,0.0,0.46,0.0,0.02,0,8
3.3 Handlers and handler functions,0,10,0.23,0.21,0.02,0.0,1,8
55,0,10,0.14,0.57,0.0,0.01,0,8
Handling requests 55 More handlers,1,9,0.39,0.28,0.01,0.0,1,8
56 Handler,1,9,0.39,0.6,0.0,0.0,1,8
■ ■,0,3,0.0,0.47,0.0,0.01,0,8
functions 57 Chaining handlers and handler functions,1,9,0.39,0.28,0.01,0.0,1,8
59,1,9,0.3,0.74,0.0,0.0,0,8
■,0,3,0.0,0.4,0.0,0.01,0,8
63 Other multiplexers 64,1,9,0.39,0.54,0.01,0.0,1,8
ServeMux and DefaultServeMux,1,9,0.39,0.28,0.0,0.0,1,8
■,0,3,0.0,0.57,0.0,0.0,0,8
ix,1,9,0.3,0.83,0.0,0.0,0,9
CONTENTS,1,6,0.33,0.43,0.0,0.03,1,9
3.4 Using HTTP/2,0,10,0.23,0.23,0.03,0.0,1,9
66,0,10,0.14,0.44,0.0,0.01,0,9
3.5 Summary 68,0,10,0.23,0.23,0.01,0.02,1,9
4,1,27,0.74,0.17,0.02,0.0,0,9
Processing requests,1,12,0.45,0.21,0.0,0.0,1,9
69,1,12,0.36,0.42,0.0,0.01,0,9
4.1 Requests and responses,0,10,0.23,0.23,0.01,0.0,1,9
69,0,10,0.14,0.51,0.0,0.01,0,9
Request 70 Request URL,1,9,0.39,0.3,0.01,0.0,1,9
70 Request header 71,1,9,0.39,0.53,0.0,0.0,1,9
■ ■,0,3,0.0,0.4,0.0,0.01,0,9
Request body 73,1,9,0.39,0.3,0.01,0.01,1,9
4.2 HTML forms and Go,0,10,0.23,0.23,0.01,0.0,1,9
74,0,10,0.14,0.49,0.0,0.01,0,9
Form 75 PostForm 77,1,9,0.39,0.3,0.01,0.0,1,9
MultipartForm 78 Files,1,9,0.39,0.53,0.0,0.0,1,9
80,1,9,0.3,0.75,0.0,0.0,0,9
■ ■,0,3,0.0,0.39,0.0,0.0,0,9
■,0,3,0.0,0.69,0.0,0.01,0,9
Processing POST requests with JSON body,1,9,0.39,0.3,0.01,0.0,1,9
81,1,9,0.3,0.63,0.0,0.01,0,9
4.3 ResponseWriter,0,10,0.23,0.23,0.01,0.0,1,9
82,0,10,0.14,0.44,0.0,0.01,0,9
Writing to the ResponseWriter,1,9,0.39,0.3,0.01,0.0,1,9
83,1,9,0.3,0.54,0.0,0.01,0,9
4.4 Cookies 87,0,10,0.23,0.23,0.01,0.01,1,9
Cookies with Go 87 Sending cookies to the,1,9,0.39,0.3,0.01,0.0,1,9
■,0,3,0.0,0.46,0.0,0.01,0,9
browser 88 Getting cookies from the browser,1,9,0.39,0.3,0.01,0.0,1,9
90 Using,1,9,0.39,0.66,0.0,0.0,1,9
■,0,3,0.0,0.4,0.0,0.0,0,9
■,0,3,0.0,0.69,0.0,0.01,0,9
cookies for flash messages,1,9,0.39,0.3,0.01,0.0,1,9
92,1,9,0.3,0.5,0.0,0.01,0,9
4.5 Summary 95,0,10,0.23,0.23,0.01,0.02,1,9
5,1,27,0.74,0.17,0.02,0.0,0,9
Displaying content,1,12,0.45,0.21,0.0,0.0,1,9
96,1,12,0.36,0.41,0.0,0.01,0,9
5.1 Templates and template engines,0,10,0.23,0.23,0.01,0.0,1,9
97,0,10,0.14,0.59,0.0,0.01,0,9
5.2 The Go template engine,0,10,0.23,0.23,0.01,0.0,1,9
98,0,10,0.14,0.52,0.0,0.01,0,9
Parsing templates 100,1,9,0.39,0.3,0.01,0.0,1,9
Executing templates 101,1,9,0.39,0.5,0.0,0.0,1,9
■,0,3,0.0,0.49,0.0,0.02,0,9
5.3 Actions 102,0,10,0.23,0.23,0.02,0.01,1,9
Conditional actions 102,1,9,0.39,0.3,0.01,0.0,1,9
Iterator actions 104,1,9,0.39,0.52,0.0,0.0,1,9
■,0,3,0.0,0.5,0.0,0.01,0,9
Set actions 105 Include actions,1,9,0.39,0.3,0.01,0.0,1,9
107,1,9,0.3,0.58,0.0,0.0,0,9
■,0,3,0.0,0.44,0.0,0.02,0,9
"5.4 Arguments, variables, and pipelines",0,10,0.23,0.23,0.02,0.0,1,9
110,0,10,0.14,0.62,0.0,0.01,0,9
5.5 Functions 111,0,10,0.23,0.23,0.01,0.01,1,9
5.6 Context awareness,0,10,0.23,0.23,0.01,0.0,1,9
113,0,10,0.14,0.47,0.0,0.01,0,9
Defending against XSS attacks,1,9,0.39,0.3,0.01,0.0,1,9
116 Unescaping,1,9,0.39,0.54,0.0,0.0,1,9
■,0,3,0.0,0.58,0.0,0.01,0,9
HTML 118,1,9,0.39,0.3,0.01,0.01,1,9
5.7 Nesting templates,0,10,0.23,0.23,0.01,0.0,1,9
119,0,10,0.14,0.46,0.0,0.01,0,9
5.8 Using the block action to define default templates,0,10,0.23,0.23,0.01,0.0,1,9
123,0,10,0.14,0.75,0.0,0.01,0,9
5.9 Summary 124,0,10,0.23,0.23,0.01,0.02,1,9
6,1,27,0.74,0.17,0.02,0.0,0,9
Storing data 125,1,12,0.45,0.21,0.0,0.01,1,9
6.1 In-memory storage,0,10,0.23,0.23,0.01,0.0,1,9
126,0,10,0.14,0.47,0.0,0.0,0,9
x,1,9,0.39,0.06,0.0,0.0,0,10
CONTENTS,1,6,0.33,0.41,0.0,0.03,1,10
6.2 File storage 128,0,10,0.23,0.21,0.03,0.01,1,10
Reading and writing CSV files,1,9,0.39,0.28,0.01,0.0,1,10
130 The gob package 132,1,9,0.39,0.53,0.0,0.0,1,10
■,0,3,0.0,0.56,0.0,0.02,0,10
6.3 Go and SQL 134,0,10,0.23,0.21,0.02,0.01,1,10
Setting up the database 134,1,9,0.39,0.28,0.01,0.0,1,10
Connecting to the,1,9,0.39,0.52,0.0,0.0,1,10
■,0,3,0.0,0.51,0.0,0.01,0,10
database 137 Creating a post,1,9,0.39,0.28,0.01,0.0,1,10
138 Retrieving a,1,9,0.39,0.55,0.0,0.0,1,10
■ ■,0,3,0.0,0.4,0.0,0.01,0,10
post 140 Updating a post,1,9,0.39,0.28,0.01,0.0,1,10
141 Deleting a post 141,1,9,0.39,0.52,0.0,0.0,1,10
■ ■,0,3,0.0,0.37,0.0,0.01,0,10
Getting all posts 142,1,9,0.39,0.28,0.01,0.01,1,10
6.4 Go and SQL relationships,0,10,0.23,0.21,0.01,0.0,1,10
143,0,10,0.14,0.52,0.0,0.01,0,10
Setting up the databases 143,1,9,0.39,0.28,0.01,0.0,1,10
One-to-many relationship,1,9,0.39,0.53,0.0,0.0,1,10
145,1,9,0.3,0.73,0.0,0.0,0,10
■,0,3,0.0,0.51,0.0,0.02,0,10
6.5 Go relational mappers,0,10,0.23,0.21,0.02,0.0,1,10
147,0,10,0.14,0.48,0.0,0.01,0,10
Sqlx 148 Gorm 149,1,9,0.39,0.28,0.01,0.0,1,10
■,0,3,0.0,0.37,0.0,0.02,0,10
6.6 Summary 152,0,10,0.23,0.21,0.02,0.03,1,10
P 3 B,1,15,0.6,0.06,0.03,0.0,1,10
................................................. 153,1,15,0.5,0.34,0.0,0.0,1,10
ART EING REAL,1,12,0.54,0.1,0.0,0.02,1,10
7,1,27,0.74,0.15,0.02,0.0,0,10
Go web services 155,1,12,0.54,0.19,0.0,0.01,1,10
7.1 Introducing web services,0,10,0.23,0.21,0.01,0.0,1,10
155 7.2,0,10,0.23,0.5,0.0,0.01,1,10
Introducing SOAP-based web services,0,10,0.23,0.26,0.01,0.0,1,10
157,0,10,0.14,0.62,0.0,0.01,0,10
7.3 Introducing REST-based web services,0,10,0.23,0.21,0.01,0.0,1,10
160,0,10,0.14,0.62,0.0,0.01,0,10
Convert action to a resource,1,9,0.39,0.28,0.01,0.0,1,10
162 Make the action a property,1,9,0.39,0.5,0.0,0.0,1,10
■,0,3,0.0,0.54,0.0,0.01,0,10
of the resource 163,1,9,0.39,0.28,0.01,0.01,1,10
7.4 Parsing and creating XML with Go,0,10,0.23,0.21,0.01,0.0,1,10
163,0,10,0.14,0.59,0.0,0.01,0,10
Parsing XML 163 Creating XML,1,9,0.39,0.28,0.01,0.0,1,10
171,1,9,0.3,0.58,0.0,0.0,0,10
■,0,3,0.0,0.44,0.0,0.02,0,10
7.5 Parsing and creating JSON with Go,0,10,0.23,0.21,0.02,0.0,1,10
174,0,10,0.14,0.6,0.0,0.01,0,10
Parsing JSON 175 Creating JSON,1,9,0.39,0.28,0.01,0.0,1,10
178,1,9,0.3,0.59,0.0,0.0,0,10
■,0,3,0.0,0.44,0.0,0.02,0,10
7.6 Creating Go web services,0,10,0.23,0.21,0.02,0.0,1,10
181,0,10,0.14,0.51,0.0,0.01,0,10
7.7 Summary 188,0,10,0.23,0.21,0.01,0.02,1,10
8,1,27,0.74,0.15,0.02,0.0,0,10
Testing your application,1,12,0.54,0.19,0.0,0.0,1,10
190,1,12,0.36,0.46,0.0,0.01,0,10
8.1 Go and testing,0,10,0.23,0.21,0.01,0.0,1,10
191,0,10,0.14,0.41,0.0,0.01,0,10
8.2 Unit testing with Go,0,10,0.23,0.21,0.01,0.0,1,10
191,0,10,0.14,0.46,0.0,0.01,0,10
Skipping test cases 195,1,9,0.39,0.28,0.01,0.0,1,10
Running tests in parallel,1,9,0.39,0.49,0.0,0.0,1,10
196,1,9,0.3,0.69,0.0,0.0,0,10
■,0,3,0.0,0.47,0.0,0.01,0,10
Benchmarking 197,1,9,0.39,0.28,0.01,0.01,1,10
8.3 HTTP testing with Go,0,10,0.23,0.21,0.01,0.0,1,10
200,0,10,0.14,0.48,0.0,0.01,0,10
8.4 Test doubles and dependency injection,0,10,0.23,0.21,0.01,0.0,1,10
204,0,10,0.14,0.64,0.0,0.01,0,10
Dependency injection with Go,1,9,0.39,0.28,0.01,0.0,1,10
205,1,9,0.3,0.52,0.0,0.0,0,10
xi,1,9,0.3,0.83,0.0,0.0,0,11
CONTENTS,1,6,0.33,0.43,0.0,0.03,1,11
8.5 Third-party Go testing libraries,0,10,0.23,0.23,0.03,0.0,1,11
210,0,10,0.14,0.58,0.0,0.01,0,11
Introducing the gocheck testing package,1,9,0.39,0.3,0.01,0.0,1,11
211 Introducing the,1,9,0.39,0.6,0.0,0.0,1,11
■,0,3,0.0,0.64,0.0,0.01,0,11
Ginkgo testing framework,1,9,0.39,0.3,0.01,0.0,1,11
216,1,9,0.3,0.51,0.0,0.01,0,11
8.6 Summary 221,0,10,0.23,0.23,0.01,0.02,1,11
9,1,27,0.74,0.17,0.02,0.0,0,11
Leveraging Go concurrency,1,12,0.45,0.21,0.0,0.0,1,11
223,1,12,0.36,0.5,0.0,0.01,0,11
9.1 Concurrency isn’t parallelism,0,10,0.23,0.23,0.01,0.0,1,11
223,0,10,0.14,0.56,0.0,0.01,0,11
9.2 Goroutines 225,0,10,0.23,0.23,0.01,0.01,1,11
Using goroutines 225 Goroutines and performance,1,9,0.39,0.3,0.01,0.0,1,11
228,1,9,0.3,0.72,0.0,0.0,0,11
■,0,3,0.0,0.48,0.0,0.01,0,11
Waiting for goroutines 231,1,9,0.39,0.3,0.01,0.01,1,11
9.3 Channels 232,0,10,0.23,0.23,0.01,0.01,1,11
Synchronization with channels,1,9,0.39,0.3,0.01,0.0,1,11
233 Message passing with,1,9,0.39,0.54,0.0,0.0,1,11
■,0,3,0.0,0.58,0.0,0.01,0,11
channels 234 Buffered channels,1,9,0.39,0.3,0.01,0.0,1,11
235 Selecting,1,9,0.39,0.59,0.0,0.0,1,11
■,0,3,0.0,0.42,0.0,0.0,0,11
■,0,3,0.0,0.62,0.0,0.01,0,11
channels 237,1,9,0.39,0.3,0.01,0.01,1,11
9.4 Concurrency for web applications,0,10,0.23,0.23,0.01,0.0,1,11
240,0,10,0.14,0.6,0.0,0.01,0,11
Creating the photo mosaic,1,9,0.39,0.3,0.01,0.0,1,11
240 The photo mosaic web,1,9,0.39,0.51,0.0,0.0,1,11
■,0,3,0.0,0.55,0.0,0.01,0,11
application 243 Concurrent photo mosaic web,1,9,0.39,0.3,0.01,0.0,1,11
■,0,3,0.0,0.44,0.0,0.01,0,11
application 247,1,9,0.39,0.3,0.01,0.01,1,11
9.5 Summary 254,0,10,0.23,0.23,0.01,0.02,1,11
10,1,27,0.74,0.14,0.02,0.0,0,11
Deploying Go 256,1,12,0.45,0.21,0.0,0.01,1,11
10.1 Deploying to servers,0,10,0.23,0.22,0.01,0.0,1,11
257,0,10,0.14,0.48,0.0,0.01,0,11
10.2 Deploying to Heroku,0,10,0.23,0.22,0.01,0.0,1,11
263,0,10,0.14,0.49,0.0,0.01,0,11
10.3 Deploying to Google App Engine,0,10,0.23,0.22,0.01,0.0,1,11
266,0,10,0.14,0.6,0.0,0.01,0,11
10.4 Deploying to Docker,0,10,0.23,0.22,0.01,0.0,1,11
271,0,10,0.14,0.49,0.0,0.01,0,11
What is Docker? 271 Installing Docker,1,9,0.39,0.3,0.01,0.0,1,11
272 Docker,1,9,0.39,0.63,0.0,0.0,1,11
■ ■,0,3,0.0,0.48,0.0,0.01,0,11
concepts and components,1,9,0.39,0.3,0.01,0.0,1,11
273 Dockerizing a Go web,1,9,0.39,0.5,0.0,0.0,1,11
■,0,3,0.0,0.54,0.0,0.01,0,11
application 274 Pushing your Docker container to the,1,9,0.39,0.3,0.01,0.0,1,11
■,0,3,0.0,0.44,0.0,0.01,0,11
internet 276,1,9,0.39,0.3,0.01,0.01,1,11
10.5 Comparison of deployment methods,0,10,0.23,0.22,0.01,0.0,1,11
279,0,10,0.14,0.63,0.0,0.01,0,11
10.6 Summary 280,0,10,0.23,0.22,0.01,0.02,1,11
appendix Installing and setting up Go,1,10,0.5,0.18,0.02,0.0,1,11
281,1,10,0.32,0.53,0.0,0.02,0,11
index 285,1,10,0.41,0.28,0.02,0.0,1,11
xii,1,9,0.39,0.06,0.0,0.0,0,12
CONTENTS,1,6,0.33,0.41,0.0,0.0,1,12
preface,1,30,0.79,0.69,0.0,0.02,1,13
Web applications have been around in one form or another since the beginning of,0,9,0.21,0.14,0.02,0.0,0,13
the World Wide Web in the mid-1990s. They started by only delivering static web pages,0,9,0.21,0.14,0.0,0.0,0,13
but soon escalated and evolved into a dizzying variety of dynamic systems delivering,0,9,0.21,0.14,0.0,0.0,0,13
data and functions. My own journey in developing applications for the web started,0,9,0.21,0.14,0.0,0.0,0,13
"around the same time, in the mid-1990s, and I eventually spent the larger part of my",0,9,0.21,0.14,0.0,0.0,0,13
"professional career designing, developing, and managing teams in developing large-",0,9,0.21,0.14,0.0,0.0,0,13
"scale web applications. Over the same period of time, I have written web applications",0,9,0.21,0.14,0.0,0.0,0,13
"in numerous programming languages and using various frameworks including Java,",0,9,0.21,0.14,0.0,0.0,0,13
"Ruby, Node.js, PHP , Perl, Elixir, and even Smalltalk.",0,9,0.3,0.14,0.0,0.0,1,13
"I stumbled on Go a few years ago, and what worked very well for me is the simplicity",0,9,0.21,0.17,0.0,0.0,0,13
and refreshing directness of the language. I was even more impressed when I realized,0,9,0.21,0.14,0.0,0.0,0,13
that I could quickly write complete web applications (and services) that are fast and,0,9,0.21,0.14,0.0,0.0,0,13
"scalable with only the Go standard libraries. The code is direct, easy to understand, and",0,9,0.21,0.14,0.0,0.0,0,13
can be quickly and easily compiled into a single deployable binary file. I no longer,0,9,0.21,0.14,0.0,0.0,0,13
need to throw in application servers to scale or to make my web application produc-,0,9,0.21,0.14,0.0,0.0,0,13
